ts,open,high,low,close,bar_count,range_pips,atr14_pips
2024-03-13,1.09233,1.09638,1.09201,1.09424,1430,43.69999999999985,43.55714285714256
2024-03-14,1.09424,1.09454,1.0873,1.08763,1434,72.40000000000136,46.29285714285701
2024-03-15,1.08763,1.08996,1.08732,1.08869,957,26.399999999999757,44.66428571428554
2024-03-17,1.08905,1.08917,1.08805,1.08875,477,11.200000000000099,41.17857142857125
2024-03-18,1.08875,1.09061,1.08661,1.08706,1425,40.000000000000036,40.81428571428553
2024-03-19,1.08706,1.08721,1.08347,1.08665,1432,37.400000000000766,42.55714285714267
2024-03-20,1.08666,1.09389,1.08364,1.09331,1439,102.50000000000092,47.80714285714265
2024-03-21,1.09331,1.09426,1.08311,1.08332,1436,111.49999999999993,53.22142857142847
2024-03-22,1.08332,1.08419,1.08017,1.08065,959,40.19999999999912,51.54285714285698
2024-03-24,1.08068,1.0822,1.08021,1.08131,470,19.900000000001583,46.692857142857086
2024-03-25,1.08131,1.08454,1.08071,1.08401,1428,38.3,44.9357142857143
2024-03-26,1.084,1.08643,1.08205,1.08298,1425,43.8000000000005,47.30714285714301
2024-03-27,1.08298,1.0839,1.0808,1.08234,1433,31.000000000001027,47.128571428571696
2024-03-28,1.08235,1.08265,1.07736,1.07766,1432,52.899999999997945,47.942857142857356
2024-03-29,1.07765,1.08051,1.07678,1.07898,955,37.30000000000011,47.48571428571451
2024-03-31,1.07882,1.07987,1.07847,1.07903,359,14.000000000000679,43.314285714285894
2024-04-01,1.07902,1.07921,1.07295,1.073,1427,62.59999999999932,45.90000000000015
2024-04-02,1.07302,1.07793,1.07246,1.07772,1426,54.700000000000855,49.00714285714306
2024-04-03,1.07773,1.08444,1.0764,1.08425,1425,80.40000000000046,51.89285714285737
2024-04-04,1.08425,1.08765,1.08233,1.08267,1440,53.19999999999991,53.021428571428736
2024-04-05,1.08266,1.08479,1.07913,1.08352,1020,56.59999999999998,49.74285714285724
2024-04-07,1.08347,1.08432,1.0823,1.08333,418,20.199999999999108,43.22142857142861
2024-04-08,1.08334,1.08635,1.08208,1.08553,1433,42.69999999999996,43.4000000000001
2024-04-09,1.08554,1.0885,1.08477,1.08529,1424,37.30000000000011,44.642857142857146
2024-04-10,1.0853,1.08665,1.07288,1.07446,1440,137.69999999999837,51.74285714285703
2024-04-11,1.07446,1.07564,1.06992,1.0717,1432,57.19999999999947,52.69999999999981
2024-04-12,1.07171,1.07174,1.06226,1.06385,1018,94.79999999999933,57.25714285714254
2024-04-14,1.06352,1.06549,1.06309,1.06519,419,23.999999999999577,55.192857142856944
2024-04-15,1.06519,1.06651,1.06061,1.06113,1436,59.00000000000016,56.74285714285695
2024-04-16,1.06114,1.06535,1.0601,1.06271,1437,52.499999999999766,59.492857142856884
2024-04-17,1.06272,1.06802,1.0606,1.06799,1437,74.19999999999982,60.32142857142834
2024-04-18,1.06799,1.069,1.06104,1.06371,1424,79.59999999999967,62.09999999999969
2024-04-19,1.06372,1.06775,1.0627,1.06526,1020,50.499999999999986,59.964285714285374
2024-04-21,1.06495,1.06706,1.06456,1.06617,415,24.999999999999467,57.949999999999626
2024-04-22,1.06617,1.06691,1.06239,1.06561,1432,45.20000000000079,57.13571428571397
2024-04-23,1.06561,1.07142,1.06385,1.07062,1430,75.70000000000076,61.0999999999998
2024-04-24,1.07062,1.07088,1.06779,1.07058,1434,30.90000000000037,60.257142857142696
2024-04-25,1.07058,1.07402,1.06783,1.07231,1431,61.899999999999174,62.01428571428547
2024-04-26,1.07231,1.07527,1.06738,1.06911,1018,78.89999999999952,57.81428571428556
2024-04-28,1.06898,1.07199,1.06898,1.07162,402,30.09999999999957,55.878571428571284
2024-04-29,1.07161,1.07337,1.06902,1.07054,1434,43.499999999998536,52.21428571428551
2024-04-30,1.07055,1.07353,1.06558,1.06564,1437,79.50000000000124,56.178571428571345
2024-05-01,1.06565,1.07326,1.06494,1.07146,1439,83.20000000000104,57.90714285714284
2024-05-02,1.07147,1.07393,1.06742,1.07348,1438,65.10000000000015,58.807142857142864
2024-05-03,1.07349,1.08124,1.07244,1.07594,1020,87.99999999999919,59.7928571428571
2024-05-05,1.076,1.07715,1.07553,1.07648,404,16.199999999999548,55.26428571428567
2024-05-06,1.07647,1.07907,1.07576,1.07687,1421,33.09999999999924,54.02142857142847
2024-05-07,1.07687,1.07873,1.0738,1.07411,1434,49.29999999999879,55.75714285714271
2024-05-08,1.07411,1.07574,1.0735,1.07476,1425,22.400000000000198,54.12857142857124
2024-05-09,1.07477,1.07858,1.07239,1.0776,1430,61.9000000000014,53.142857142857
2024-05-10,1.07761,1.079,1.07603,1.07694,1014,29.69999999999917,53.05714285714263
2024-05-12,1.07721,1.07752,1.07658,1.07716,410,9.399999999999409,49.307142857142644
2024-05-13,1.07715,1.08068,1.07687,1.07876,1429,38.10000000000091,46.39285714285703
2024-05-14,1.07876,1.08277,1.07669,1.08261,1427,60.80000000000085,48.58571428571425
2024-05-15,1.08261,1.08949,1.08205,1.08872,1434,74.40000000000113,50.7928571428573
2024-05-16,1.08872,1.08872,1.08543,1.0859,1422,32.90000000000015,47.4642857142858
2024-05-17,1.08588,1.08784,1.08356,1.08674,1018,42.79999999999839,44.57857142857132
2024-05-19,1.08664,1.08786,1.0864,1.08779,400,14.600000000000168,40.97142857142847
2024-05-20,1.0878,1.08844,1.08509,1.08559,1428,33.49999999999964,37.07857142857136
2024-05-21,1.08557,1.08747,1.08425,1.08556,1432,32.2,38.22142857142853
2024-05-22,1.08557,1.08633,1.08174,1.08303,1437,45.90000000000094,39.135714285714364
2024-05-23,1.08302,1.0861,1.08048,1.08063,1432,56.199999999999584,39.62857142857156
2024-05-24,1.08063,1.08578,1.08054,1.0846,1017,52.39999999999911,41.771428571428636
2024-05-26,1.0845,1.08519,1.0843,1.0849,405,8.900000000000574,37.98571428571429
2024-05-27,1.08492,1.08785,1.08405,1.08784,1387,38.000000000000256,38.5785714285715
2024-05-28,1.08784,1.0889,1.08457,1.08471,1436,43.29999999999945,41.00000000000008
2024-05-29,1.0847,1.08588,1.07938,1.07979,1432,64.9999999999995,42.92142857142856
2024-05-30,1.07979,1.08451,1.07883,1.08191,1431,56.80000000000129,42.63571428571429
2024-05-31,1.08193,1.08822,1.08145,1.0845,1018,67.69999999999942,42.157142857142745
2024-06-02,1.08462,1.08587,1.08453,1.08497,419,13.399999999998968,40.76428571428552
2024-06-03,1.08497,1.0916,1.08278,1.09074,1438,88.19999999999827,44.007142857142654
2024-06-04,1.09074,1.09108,1.0859,1.08784,1424,51.79999999999962,46.66428571428548
2024-06-05,1.08783,1.08957,1.08544,1.08906,1426,41.29999999999967,47.221428571428326
2024-06-06,1.08906,1.0902,1.08619,1.08945,1421,40.10000000000069,47.7857142857141
2024-06-07,1.08944,1.09018,1.07993,1.08017,1018,102.49999999999869,51.82857142857108
2024-06-09,1.07783,1.07814,1.07554,1.07555,417,26.000000000001577,49.67142857142836
2024-06-10,1.07554,1.0769,1.07327,1.07685,1423,36.30000000000022,48.521428571428444
2024-06-11,1.07683,1.07734,1.07194,1.07402,1423,54.00000000000071,51.74285714285703
2024-06-12,1.07401,1.08521,1.07355,1.08068,1434,116.60000000000004,57.35714285714272
2024-06-13,1.08068,1.08163,1.07328,1.07401,1438,83.5000000000008,60.22857142857139
2024-06-14,1.07401,1.07409,1.06676,1.07025,1020,73.30000000000058,60.821428571428605
2024-06-16,1.07028,1.07089,1.06989,1.07036,413,9.999999999998899,57.47857142857129
2024-06-17,1.07037,1.0741,1.06863,1.07246,1431,54.700000000000855,56.54999999999997
2024-06-18,1.07246,1.07615,1.07099,1.07377,1416,51.59999999999831,59.278571428571354
2024-06-19,1.07377,1.07533,1.07248,1.07419,1378,28.49999999999797,55.01428571428562
2024-06-20,1.07419,1.07449,1.07012,1.07162,1433,43.69999999999985,54.4357142857142
2024-06-21,1.07162,1.07205,1.0671,1.06918,1016,49.5000000000001,55.02142857142852
2024-06-23,1.06849,1.06955,1.06837,1.06916,415,11.799999999999589,52.99999999999987
2024-06-24,1.06916,1.07463,1.06914,1.07385,1420,54.89999999999995,49.599999999999966
2024-06-25,1.07385,1.07441,1.06906,1.0711,1424,53.500000000001876,51.564285714285695
2024-06-26,1.07109,1.07115,1.0666,1.06908,1437,45.50000000000054,52.221428571428575
2024-06-27,1.06907,1.07264,1.06805,1.06921,1432,45.90000000000094,51.64285714285716
2024-06-28,1.06921,1.07246,1.06856,1.07119,1020,39.00000000000014,46.10000000000003
2024-06-30,1.07438,1.07615,1.0732,1.07528,418,29.50000000000008,42.24285714285712
2024-07-01,1.07527,1.07763,1.07197,1.07322,1437,56.59999999999998,41.04999999999993
2024-07-02,1.07323,1.07542,1.071,1.07435,1428,44.200000000000905,43.49285714285721
2024-07-03,1.07434,1.08168,1.07363,1.07852,1412,80.4999999999989,45.335714285714225
2024-07-04,1.07852,1.08245,1.07847,1.08218,1369,39.799999999998725,44.49285714285711
2024-07-05,1.08216,1.08426,1.07993,1.0837,1020,43.29999999999945,45.55000000000007
2024-07-07,1.08014,1.08363,1.07998,1.08314,420,36.50000000000153,45.035714285714484
2024-07-08,1.08314,1.0845,1.08146,1.08281,1407,30.399999999999316,43.671428571428706
2024-07-09,1.08283,1.08311,1.08054,1.08199,1423,25.699999999999612,44.664285714285846
2024-07-10,1.082,1.084,1.08118,1.08379,1430,28.200000000000447,42.75714285714303
2024-07-11,1.08379,1.08999,1.08322,1.08687,1435,67.69999999999942,43.771428571428565
2024-07-12,1.08686,1.09113,1.08617,1.09054,1019,49.59999999999853,44.06428571428557
2024-07-14,1.08852,1.08956,1.08818,1.0894,416,13.800000000001589,41.77142857142848
2024-07-15,1.0894,1.09222,1.08837,1.0893,1434,38.49999999999909,41.73571428571411
2024-07-16,1.08929,1.09068,1.08715,1.09061,1432,35.30000000000033,42.14999999999985
2024-07-17,1.09062,1.0948,1.0895,1.09328,1432,53.000000000000824,41.892857142857046
2024-07-18,1.09329,1.09388,1.08863,1.08883,1432,52.499999999999766,42.48571428571411
2024-07-19,1.08883,1.08941,1.08756,1.08779,1020,18.499999999999073,38.05714285714269
2024-07-21,1.08861,1.09027,1.08807,1.08915,415,21.999999999999797,36.7857142857142
2024-07-22,1.08916,1.08967,1.0873,1.08941,1424,23.699999999999832,35.38571428571423
2024-07-23,1.08941,1.08947,1.08416,1.0845,1424,53.099999999999255,36.57142857142835
2024-07-24,1.08451,1.08664,1.08256,1.08427,1438,40.800000000000836,37.314285714285596
2024-07-25,1.08427,1.08699,1.08282,1.08583,1438,41.70000000000007,38.45714285714278
2024-07-26,1.08582,1.08681,1.0842,1.08547,1020,26.100000000000012,38.30714285714274
2024-07-28,1.08553,1.087,1.08508,1.08622,414,19.199999999999218,34.842857142857014
2024-07-29,1.08623,1.08637,1.08028,1.08221,1428,60.900000000001505,35.650000000000084
2024-07-30,1.0822,1.08356,1.07982,1.0822,1437,37.400000000000766,37.33571428571431
2024-07-31,1.0822,1.08493,1.08019,1.08328,1439,47.399999999999665,37.97142857142864
