date,side,sweep_time,sweep_hour,asian_range_pips,reached_target,excursion_beyond_level_pips,excursion_beyond_entry_pips,excursion_pct_of_asian_range,minutes_sweep_to_turn,minutes_turn_to_target,n_pokes,reclaimed,minutes_sweep_to_reclaim,reclaim_price,excursion_at_reclaim_pips,max_adverse_after_reclaim_pips,retested_level_after_reclaim
2021-07-29,high,02:06,2,17.2,False,33.1,33.7,192.4,562,,5,True,0.0,1.18572,0.3,33.7,True
2021-07-30,low,02:23,2,14.0,True,2.7,2.2,19.3,10,48.0,1,True,2.0,1.18781,1.1,3.2,True
2021-08-02,high,02:04,2,14.0,False,24.1,24.0,172.1,237,,3,True,8.0,1.18726,2.0,24.2,True
2021-08-03,high,02:10,2,10.6,True,14.6,15.0,137.7,349,99.0,10,True,0.0,1.18782,0.1,15.0,True
2021-08-04,high,02:52,2,14.8,True,4.4,4.4,29.7,14,66.0,3,True,1.0,1.1875,0.1,4.8,True
2021-08-05,low,02:06,2,7.7,True,0.3,1.2,3.9,0,20.0,1,True,0.0,1.18324,0.3,1.2,True
2021-08-06,low,04:23,4,14.8,False,63.6,59.6,429.7,392,,1,False,,,,,
2021-08-09,high,02:03,2,18.4,True,8.1,9.7,44.0,402,135.0,20,True,0.0,1.17592,0.3,9.7,True
2021-08-10,high,02:29,2,8.0,True,2.7,2.3,33.8,25,36.0,6,True,6.0,1.17391,1.9,3.6,True
2021-08-11,low,02:19,2,13.8,True,5.8,5.7,42.0,60,311.0,9,True,1.0,1.17118,0.3,5.9,True
2021-08-12,low,03:00,3,10.4,True,1.9,0.9,18.3,0,100.0,4,True,2.0,1.1735,1.9,2.4,True
2021-08-13,low,02:57,2,9.7,True,2.5,2.4,25.8,20,93.0,4,True,2.0,1.17329,0.8,2.7,True
2021-08-16,low,02:00,2,10.8,False,22.6,23.0,209.3,359,,8,True,0.0,1.17902,3.3,23.0,True
2021-08-17,low,02:05,2,11.0,True,6.4,6.7,58.2,54,71.0,2,True,0.0,1.17669,0.4,6.7,True
2021-08-18,high,02:53,2,15.4,True,6.5,6.1,42.2,36,234.0,11,True,2.0,1.17211,0.4,8.3,True
2021-08-20,low,04:31,4,11.6,True,11.9,10.8,102.6,273,173.0,16,True,33.0,1.16766,5.1,12.8,True
2021-08-23,high,03:40,3,28.6,False,19.8,20.1,69.2,351,,10,True,0.0,1.17233,1.1,20.1,True
2021-08-24,low,03:36,3,13.2,True,6.9,6.6,52.3,83,223.0,12,True,1.0,1.17348,0.4,7.6,True
2021-08-25,low,02:57,2,24.3,True,1.0,0.4,4.1,2,98.0,3,True,1.0,1.1734,0.7,1.8,True
2021-08-26,low,02:25,2,12.6,True,4.6,4.6,36.5,30,43.0,3,True,3.0,1.17612,1.1,4.8,True
2021-08-27,high,02:00,2,17.6,True,11.6,8.1,65.9,67,363.0,8,True,90.0,1.17587,11.6,7.4,True
2021-08-30,low,02:41,2,14.6,False,12.4,11.8,84.9,381,,18,True,1.0,1.17964,1.7,13.7,True
2021-08-31,high,02:00,2,24.6,False,25.2,18.5,102.4,321,,3,True,435.0,1.18171,25.2,15.8,True
2021-09-01,low,02:00,2,11.0,True,6.6,4.6,60.0,20,39.0,2,True,5.0,1.18005,3.4,7.0,True
2021-09-02,high,02:04,2,9.3,True,9.8,9.4,105.4,294,103.0,14,True,2.0,1.18443,0.5,11.5,True
2021-09-03,low,03:53,3,10.9,True,7.1,6.3,65.1,124,153.0,9,True,5.0,1.18739,2.0,7.7,True
2021-09-06,low,03:26,3,20.9,False,9.1,6.7,43.5,120,,18,True,5.0,1.1865,3.6,9.3,True
2021-09-07,low,02:00,2,12.4,False,35.3,34.7,284.7,512,,7,True,6.0,1.18728,2.4,35.4,True
2021-09-08,low,02:00,2,10.8,False,38.4,34.2,355.6,514,,6,True,67.0,1.18413,11.9,39.4,True
2021-09-09,low,02:02,2,13.0,True,0.3,1.6,2.3,0,83.0,1,True,0.0,1.18135,0.3,1.6,True
2021-09-10,high,03:09,3,14.3,True,18.1,17.2,126.6,82,445.0,11,True,194.0,1.18323,18.1,9.4,True
2021-09-13,low,02:00,2,10.6,True,32.1,22.0,302.8,351,218.0,3,True,481.0,1.18027,32.1,10.4,True
2021-09-14,high,03:05,3,13.4,True,11.1,10.9,82.8,25,193.0,1,True,1.0,1.18184,2.1,11.5,True
2021-09-15,low,02:36,2,11.2,True,1.6,1.5,14.3,3,40.0,2,True,1.0,1.1801,0.5,1.9,True
2021-09-16,low,02:00,2,8.5,False,61.5,52.9,723.5,459,,1,False,,,,,
2021-09-17,high,02:00,2,11.4,True,18.8,19.0,164.9,360,86.0,1,True,0.0,1.17698,0.4,19.0,True
2021-09-20,low,03:18,3,19.9,True,9.6,9.9,48.2,145,305.0,12,True,0.0,1.171,0.1,9.9,True
2021-09-21,low,03:39,3,16.7,True,4.9,5.7,29.3,11,229.0,4,True,0.0,1.1724,0.3,5.7,True
2021-09-22,high,03:08,3,14.0,False,14.5,13.0,103.6,431,,15,True,2.0,1.17302,2.2,14.7,True
2021-09-23,high,02:01,2,25.8,False,40.8,42.0,158.1,540,,2,True,0.0,1.1708,0.3,42.0,True
2021-09-24,low,02:00,2,9.9,False,37.2,39.6,375.8,426,,7,True,0.0,1.17401,1.2,39.6,True
2021-09-27,low,02:06,2,8.5,False,31.9,32.0,375.3,151,,3,True,0.0,1.17166,0.3,32.0,True
2021-09-28,high,02:00,2,11.7,True,4.5,2.4,38.5,2,23.0,2,True,7.0,1.16965,4.5,2.0,True
2021-09-29,low,02:41,2,12.1,False,68.2,69.0,563.6,542,,2,True,0.0,1.16787,0.2,69.0,True
2021-09-30,low,02:00,2,10.8,True,6.3,6.2,58.3,71,27.0,5,True,1.0,1.15978,2.7,6.4,True
2021-10-01,high,02:05,2,16.3,False,28.1,28.3,172.4,433,,15,True,0.0,1.15789,0.4,28.3,True
