date,day_of_week,asian_high,asian_low,asian_range_pips,yday_high,yday_low,yday_open,yday_close,dby_high,dby_low,setup1_sell,setup1_buy,setup2_sell,setup2_buy,predicted_side_setup1,predicted_side_setup2,predicted_side,actual_side,actual_sweep_time,actual_sweep_hour,session_bucket,reached_yesterday_extreme,mixed_day,agree_day
2023-12-22,Friday,1.10064,1.09954,11.0,1.10125,1.09352,1.09492,1.10004,1.09756,1.09298,True,False,False,False,high,none,high,low,01:59,1,in_session,True,True,False
2023-12-26,Tuesday,1.10286,1.10177,10.9,1.10286,1.09974,1.10025,1.10224,1.10159,1.09933,False,False,False,False,none,none,none,low,03:52,3,in_session,True,False,False
2023-12-27,Wednesday,1.1042,1.10286,13.4,1.1045,1.10085,1.10223,1.10416,1.10286,1.09974,True,False,False,False,high,none,high,high,00:11,0,before_session,False,False,True
2023-12-28,Thursday,1.11224,1.11096,12.8,1.11226,1.10364,1.10416,1.11102,1.1045,1.10085,True,False,False,False,high,none,high,low,00:00,0,before_session,True,True,False
2023-12-29,Friday,1.10842,1.10637,20.5,1.11394,1.10552,1.11101,1.10666,1.11226,1.10364,False,True,False,False,low,none,low,low,00:13,0,before_session,False,False,True
2024-01-02,Tuesday,1.10432,1.10165,26.7,1.10447,1.10165,1.10427,1.10208,1.10806,1.10339,False,True,False,False,low,none,low,low,02:59,2,in_session,False,False,True
2024-01-03,Wednesday,1.09624,1.09448,17.6,1.10387,1.09375,1.10208,1.09622,1.10447,1.10165,False,True,False,False,low,none,low,high,00:00,0,before_session,True,True,False
2024-01-04,Thursday,1.09306,1.0916,14.6,1.09654,1.08929,1.09623,1.09258,1.10387,1.09375,True,False,False,False,high,none,high,high,01:19,1,in_session,False,False,True
2024-01-05,Friday,1.09558,1.09363,19.5,1.09721,1.09208,1.09259,1.09371,1.09654,1.08929,False,True,False,False,low,none,low,low,00:06,0,before_session,True,False,True
2024-01-08,Monday,1.0953,1.09306,22.4,1.0953,1.09306,1.09386,1.0934,1.09984,1.08767,False,True,False,False,low,none,low,low,03:14,3,in_session,True,False,True
2024-01-09,Tuesday,1.09663,1.09514,14.9,1.09788,1.09226,1.09342,1.09561,1.0953,1.09306,False,False,False,False,none,none,none,low,00:21,0,before_session,False,False,False
2024-01-10,Wednesday,1.0936,1.09261,9.9,1.09629,1.09103,1.0956,1.09321,1.09788,1.09226,False,False,False,False,none,none,none,low,01:51,1,in_session,True,False,False
2024-01-11,Thursday,1.09847,1.09749,9.8,1.09847,1.09228,1.09321,1.09777,1.09629,1.09103,True,False,False,False,high,none,high,low,01:02,1,in_session,True,True,False
2024-01-12,Friday,1.09853,1.09725,12.8,1.1,1.09302,1.09775,1.09755,1.09847,1.09228,False,False,False,False,none,none,none,low,02:03,2,in_session,False,False,False
2024-01-15,Monday,1.09675,1.09494,18.1,1.09675,1.09407,1.0948,1.09628,1.09868,1.09359,False,False,False,False,none,none,none,low,04:36,4,in_session,False,False,False
2024-01-16,Tuesday,1.09315,1.09134,18.1,1.09666,1.09134,1.09629,1.09175,1.09675,1.09407,False,True,False,False,low,none,low,low,00:40,0,before_session,False,False,True
2024-01-17,Wednesday,1.08844,1.08647,19.7,1.09265,1.0862,1.09175,1.08709,1.09666,1.09134,False,True,False,False,low,none,low,low,00:15,0,before_session,False,False,True
2024-01-18,Thursday,1.09028,1.08905,12.3,1.09028,1.08445,1.08709,1.08941,1.09265,1.0862,True,False,False,False,high,none,high,low,00:32,0,before_session,True,True,False
2024-01-19,Friday,1.08896,1.08762,13.4,1.09067,1.08466,1.0894,1.08864,1.09028,1.08445,False,False,False,False,none,none,none,low,01:31,1,in_session,False,False,False
2024-01-22,Monday,1.09091,1.08987,10.4,1.09091,1.08878,1.08906,1.09028,1.08983,1.08656,True,True,False,False,conflict,none,conflict,low,00:54,0,before_session,True,False,False
2024-01-23,Tuesday,1.08986,1.08766,22.0,1.09094,1.08756,1.09029,1.08983,1.09091,1.08878,True,False,False,False,high,none,high,high,00:00,0,before_session,True,False,True
2024-01-24,Wednesday,1.0866,1.08514,14.6,1.09162,1.08215,1.08984,1.08645,1.09094,1.08756,False,False,False,False,none,none,none,high,01:46,1,in_session,False,False,False
2024-01-25,Thursday,1.08818,1.08702,11.6,1.09323,1.08592,1.08644,1.08754,1.09162,1.08215,False,False,False,False,none,none,none,high,01:30,1,in_session,True,False,False
2024-01-26,Friday,1.08488,1.08379,10.9,1.09018,1.08216,1.08754,1.08395,1.09323,1.08592,False,True,False,False,low,none,low,low,01:08,1,in_session,False,False,True
2024-01-29,Monday,1.08489,1.08393,9.6,1.0849,1.08393,1.08468,1.08448,1.08854,1.08128,True,True,False,False,conflict,none,conflict,low,01:04,1,in_session,True,False,False
2024-01-30,Tuesday,1.08407,1.08241,16.6,1.085,1.07958,1.08446,1.08253,1.0849,1.08393,False,False,False,False,none,none,none,low,00:03,0,before_session,True,False,False
2024-01-31,Wednesday,1.08436,1.08159,27.7,1.08573,1.08119,1.08251,1.08205,1.085,1.07958,False,True,False,False,low,none,low,low,01:55,1,in_session,True,False,True
2024-02-01,Thursday,1.08217,1.08045,17.2,1.08874,1.07949,1.08203,1.08076,1.08573,1.08119,False,True,False,False,low,none,low,low,00:06,0,before_session,False,False,True
2024-02-02,Friday,1.08788,1.08701,8.7,1.08796,1.07799,1.08076,1.0873,1.08874,1.07949,True,False,False,False,high,none,high,high,00:32,0,before_session,False,False,True
2024-02-05,Monday,1.07811,1.07686,12.5,1.07858,1.07673,1.07854,1.07788,1.08974,1.07804,True,True,False,False,conflict,none,conflict,high,00:58,0,before_session,True,False,False
2024-02-06,Tuesday,1.07503,1.07415,8.8,1.07861,1.07231,1.07788,1.07489,1.07858,1.07673,False,False,False,False,none,none,none,high,00:03,0,before_session,True,False,False
2024-02-07,Wednesday,1.07665,1.07566,9.9,1.07665,1.07225,1.0749,1.0759,1.07861,1.07231,True,False,False,False,high,none,high,high,02:06,2,in_session,False,False,True
2024-02-08,Thursday,1.07883,1.07751,13.2,1.07883,1.07556,1.07589,1.07799,1.07665,1.07225,True,False,False,False,high,none,high,high,02:20,2,in_session,True,False,True
2024-02-09,Friday,1.07786,1.07693,9.3,1.07889,1.07416,1.07797,1.07711,1.07883,1.07556,False,False,False,False,none,none,none,high,02:16,2,in_session,False,False,False
2024-02-12,Monday,1.07987,1.07893,9.4,1.07997,1.07766,1.07767,1.07904,1.07951,1.07621,True,True,False,False,conflict,none,conflict,high,02:28,2,in_session,True,False,False
2024-02-13,Tuesday,1.07744,1.07606,13.8,1.08055,1.07559,1.07903,1.07637,1.07997,1.07766,False,False,False,False,none,none,none,high,02:04,2,in_session,True,False,False
2024-02-14,Wednesday,1.07145,1.07032,11.3,1.07985,1.07005,1.07635,1.07143,1.08055,1.07559,False,True,False,False,low,none,low,high,00:00,0,before_session,True,True,False
2024-02-15,Thursday,1.07351,1.07246,10.5,1.07354,1.06949,1.07144,1.07259,1.07985,1.07005,True,False,False,False,high,none,high,high,02:23,2,in_session,False,False,True
2024-02-16,Friday,1.07661,1.07573,8.8,1.07847,1.0726,1.0726,1.07593,1.07354,1.06949,False,False,False,False,none,none,none,high,02:26,2,in_session,False,False,False
2024-02-19,Monday,1.0788,1.07748,13.2,1.07889,1.07718,1.07718,1.07778,1.07874,1.07319,True,False,False,False,high,none,high,high,02:11,2,in_session,True,False,True
2024-02-20,Tuesday,1.07712,1.07615,9.7,1.07894,1.07615,1.07779,1.07689,1.07889,1.07718,True,False,False,False,high,none,high,high,01:16,1,in_session,False,False,True
2024-02-21,Wednesday,1.08191,1.08055,13.6,1.08387,1.07651,1.0769,1.08141,1.07894,1.07615,False,False,False,False,none,none,none,low,03:40,3,in_session,False,False,False
2024-02-22,Thursday,1.08309,1.0819,11.9,1.08321,1.07899,1.08141,1.08303,1.08387,1.07651,True,False,False,False,high,none,high,high,00:07,0,before_session,False,False,True
2024-02-23,Friday,1.08318,1.08216,10.2,1.08882,1.08026,1.08302,1.08254,1.08321,1.07899,False,False,False,False,none,none,none,low,00:51,0,before_session,False,False,False
2024-02-26,Monday,1.08226,1.08126,10.0,1.08322,1.08126,1.08318,1.08211,1.08395,1.08117,True,False,False,False,high,none,high,high,00:49,0,before_session,False,False,True
2024-02-27,Tuesday,1.08553,1.08454,9.9,1.08597,1.08188,1.0821,1.08534,1.08322,1.08126,True,False,False,False,high,none,high,high,02:11,2,in_session,False,False,True
2024-02-28,Wednesday,1.08447,1.08318,12.9,1.08659,1.08318,1.08533,1.08323,1.08597,1.08188,False,True,False,False,low,none,low,low,00:10,0,before_session,False,False,True
2024-02-29,Thursday,1.08403,1.0828,12.3,1.08458,1.07966,1.08322,1.08363,1.08659,1.08318,True,False,False,False,high,none,high,low,02:50,2,in_session,True,True,False
2024-03-01,Friday,1.08218,1.08109,10.9,1.08558,1.07958,1.08363,1.08135,1.08458,1.07966,False,False,False,False,none,none,none,low,01:31,1,in_session,False,False,False
2024-03-04,Monday,1.08458,1.08385,7.3,1.0848,1.0835,1.08359,1.08436,1.08432,1.07981,True,False,False,False,high,none,high,high,00:13,0,before_session,False,False,True
2024-03-05,Tuesday,1.08547,1.08475,7.2,1.08667,1.08377,1.08435,1.08505,1.0848,1.0835,False,False,False,False,none,none,none,low,01:40,1,in_session,True,False,False
2024-03-06,Wednesday,1.08533,1.08421,11.2,1.0876,1.08403,1.08504,1.08516,1.08667,1.08377,True,False,False,False,high,none,high,high,00:04,0,before_session,False,False,True
2024-03-07,Thursday,1.09055,1.08936,11.9,1.09153,1.08516,1.08516,1.09035,1.0876,1.08403,False,False,False,False,none,none,none,low,02:40,2,in_session,True,False,False
2024-03-08,Friday,1.09528,1.09442,8.6,1.09556,1.08678,1.09034,1.09456,1.09153,1.08516,False,False,False,False,none,none,none,low,02:19,2,in_session,True,False,False
2024-03-11,Monday,1.09457,1.09369,8.8,1.09465,1.09359,1.09411,1.09386,1.09812,1.09183,True,True,False,False,conflict,none,conflict,low,01:31,1,in_session,True,False,False
2024-03-12,Tuesday,1.09381,1.09267,11.4,1.0948,1.09145,1.09386,1.09368,1.09465,1.09359,False,False,False,False,none,none,none,high,00:01,0,before_session,True,False,False
2024-03-13,Wednesday,1.09306,1.0922,8.6,1.09438,1.09023,1.09369,1.09234,1.0948,1.09145,False,False,False,False,none,none,none,high,02:11,2,in_session,False,False,False
2024-03-14,Thursday,1.09527,1.09389,13.8,1.09638,1.09201,1.09233,1.09424,1.09438,1.09023,False,False,False,False,none,none,none,low,01:40,1,in_session,False,False,False
2024-03-15,Friday,1.08801,1.0873,7.1,1.09454,1.0873,1.09424,1.08763,1.09638,1.09201,False,False,False,False,none,none,none,high,01:53,1,in_session,False,False,False
