entry_bar,outcome,r_multiple,risk_pips
671430,LOSS,-1.0,4.0
671465,WIN,1.725,19.3
672563,LOSS,-1.0,2.0
672643,LOSS,-1.0,10.3
672673,LOSS,-1.0,6.6
672748,LOSS,-1.0,15.7
672873,WIN,3.167,12.0
675490,LOSS,-1.0,10.7
675630,LOSS,-1.0,0.3
675735,LOSS,-1.0,11.6
675835,LOSS,-1.0,16.9
675890,LOSS,-1.0,2.7
676990,OPEN,0.0,18.1
678363,LOSS,-1.0,7.8
678423,LOSS,-1.0,6.4
678478,LOSS,-1.0,11.3
678758,LOSS,-1.0,12.6
678853,LOSS,-1.0,9.5
681234,WIN,3.705,6.1
682691,LOSS,-1.0,11.7
682741,LOSS,-1.0,7.0
682934,LOSS,-1.0,10.8
683004,OPEN,0.0,12.8
686884,LOSS,-1.0,3.4
687059,WIN,0.716,32.7
688321,LOSS,-1.0,8.5
688481,LOSS,-1.0,13.4
688551,LOSS,-1.0,17.8
688721,LOSS,-1.0,12.0
688801,OPEN,0.0,37.2
698480,WIN,2.406,14.3
699839,LOSS,-1.0,11.3
699879,LOSS,-1.0,9.4
699984,LOSS,-1.0,4.6
699989,LOSS,-1.0,5.5
700014,LOSS,-1.0,13.7
700134,OPEN,0.0,7.9
701287,WIN,1.351,9.4
704229,LOSS,-1.0,17.7
704424,LOSS,-1.0,6.0
704474,OPEN,0.0,8.9
705763,LOSS,-1.0,9.7
705878,LOSS,-1.0,4.2
705973,LOSS,-1.0,12.3
706023,OPEN,0.0,13.9
714252,LOSS,-1.0,7.9
714427,WIN,2.365,18.9
715658,WIN,2.101,13.9
717056,LOSS,-1.0,8.3
717076,WIN,1.101,15.8
725755,LOSS,-1.0,9.8
725855,WIN,3.96,15.0
729970,WIN,11.667,4.8
739922,WIN,3.462,5.2
741397,WIN,2.987,7.7
742844,LOSS,-1.0,12.9
743304,LOSS,-1.0,4.8
743344,OPEN,0.0,4.0
744210,LOSS,-1.0,5.8
744330,LOSS,-1.0,17.7
744455,LOSS,-1.0,9.8
744490,OPEN,0.0,7.4
747063,LOSS,-1.0,5.1
747103,LOSS,-1.0,9.8
747528,LOSS,-1.0,0.8
747608,OPEN,0.0,17.5
748470,LOSS,-1.0,4.8
748515,LOSS,-1.0,10.9
748650,LOSS,-1.0,8.6
748690,LOSS,-1.0,10.1
748740,LOSS,-1.0,2.3
748820,LOSS,-1.0,7.9
748860,WIN,0.877,25.3
754214,LOSS,-1.0,4.8
754254,LOSS,-1.0,5.6
754334,WIN,1.054,13.0
757101,LOSS,-1.0,8.1
757206,LOSS,-1.0,7.1
757461,OPEN,0.0,8.7
762799,WIN,1.261,8.8
768570,WIN,0.079,14.0
770038,LOSS,-1.0,8.9
770278,LOSS,-1.0,16.3
770373,LOSS,-1.0,29.1
770443,OPEN,0.0,18.5
771329,LOSS,-1.0,5.7
771384,WIN,0.263,20.9
772766,LOSS,-1.0,5.2
772876,WIN,8.719,5.7
775631,LOSS,-1.0,5.7
775701,LOSS,-1.0,12.1
775781,LOSS,-1.0,8.1
775876,LOSS,-1.0,10.5
776061,LOSS,-1.0,33.7
776136,OPEN,0.0,34.7
778576,LOSS,-1.0,14.7
778776,LOSS,-1.0,10.7
778931,LOSS,-1.0,14.1
779011,LOSS,-1.0,3.4
780044,LOSS,-1.0,17.5
780119,LOSS,-1.0,9.2
780219,LOSS,-1.0,13.2
780344,LOSS,-1.0,11.8
