date,side,reached_target,asian_range_pips,yesterday_extreme_taken_when,yesterday_close_vs_daybefore
2023-02-23,low,False,14.0,never,bearish
2023-02-24,low,False,20.9,never,bearish
2023-02-27,low,True,19.8,london,bullish
2023-02-28,low,True,24.6,never,bullish
2023-03-01,high,False,28.3,never,bearish
2023-03-02,low,False,17.4,never,bullish
2023-03-03,high,True,13.1,never,bearish
2023-03-06,high,True,25.8,london,bullish
2023-03-07,low,True,16.8,never,bullish
2023-03-09,high,False,15.4,never,bullish
2023-03-10,high,True,20.0,london,bullish
2023-03-13,high,True,73.2,london,bullish
2023-03-14,low,True,23.2,never,bearish
2023-03-15,low,False,28.5,never,bullish
2023-03-16,high,True,17.1,never,bearish
2023-03-17,high,True,34.9,london,bullish
2023-03-20,low,True,25.2,london,bullish
2023-03-21,low,True,12.7,never,bullish
2023-03-22,low,True,11.5,never,bullish
2023-03-23,high,True,26.7,london,bullish
2023-03-24,low,False,18.0,london,bearish
2023-03-27,low,True,20.0,london,bullish
2023-03-28,high,False,16.1,london,bullish
2023-03-29,low,True,14.8,never,bullish
2023-03-30,high,True,17.1,never,bearish
2023-03-31,low,False,24.5,never,bullish
2023-04-03,high,False,28.5,never,bearish
2023-04-04,low,True,21.3,never,bullish
2023-04-05,low,False,14.2,never,bullish
2023-04-06,high,False,19.8,never,bearish
2023-04-10,low,True,17.7,london,bearish
2023-04-11,high,False,20.7,never,bearish
2023-04-12,high,False,14.0,london,bullish
2023-04-13,low,True,21.3,never,bullish
2023-04-14,high,True,26.3,london,bullish
2023-04-18,high,False,16.8,never,bearish
2023-04-19,low,False,19.1,never,bullish
2023-04-20,high,True,12.2,never,bearish
2023-04-21,low,True,11.3,never,bullish
2023-04-24,low,True,15.2,london,bearish
2023-04-25,low,False,15.6,never,bullish
2023-04-26,high,False,11.6,never,bearish
2023-04-27,high,True,15.1,never,bullish
2023-04-28,low,True,26.9,never,bearish
2023-05-01,low,True,13.6,london,bearish
2023-05-02,high,True,25.8,never,bearish
2023-05-03,high,False,24.9,london,bullish
2023-05-04,high,True,18.9,never,bullish
2023-05-05,high,True,25.6,never,bearish
2023-05-08,high,True,23.2,london,bullish
2023-05-09,high,True,12.5,never,bearish
2023-05-10,low,True,12.8,never,bearish
2023-05-11,low,False,24.6,never,bearish
2023-05-12,high,True,13.0,never,bearish
2023-05-15,high,False,16.3,london,bullish
2023-05-16,low,True,16.3,never,bullish
2023-05-17,low,False,11.5,london,bearish
2023-05-18,low,False,13.1,never,bearish
2023-05-19,high,False,20.0,never,bearish
2023-05-22,low,False,13.3,never,bullish
2023-05-23,low,False,17.9,never,bearish
2023-05-24,high,True,12.1,never,bearish
2023-05-25,low,False,19.6,london,bearish
2023-05-26,high,True,19.6,never,flat
2023-05-29,high,True,18.2,london,bullish
2023-05-30,low,True,24.9,london,bearish
2023-05-31,low,False,41.4,never,bearish
2023-06-01,low,True,14.9,never,bearish
2023-06-02,high,True,10.9,london,bullish
2023-06-05,low,True,14.3,london,bearish
2023-06-06,high,True,14.8,london,bullish
2023-06-07,low,True,15.6,never,bearish
2023-06-08,high,True,8.6,never,bullish
2023-06-09,low,False,9.3,never,bullish
2023-06-12,high,False,17.3,london,bearish
2023-06-13,high,False,21.0,london,bullish
2023-06-14,low,True,10.4,london,bullish
2023-06-15,low,True,36.3,never,bullish
2023-06-16,high,True,15.3,london,bullish
2023-06-19,low,False,12.7,london,bullish
2023-06-20,high,True,15.5,never,bearish
2023-06-21,low,True,9.3,never,bearish
2023-06-22,low,True,8.3,never,bullish
2023-06-23,low,False,26.4,london,bearish
2023-06-26,high,True,10.9,london,bullish
2023-06-27,high,False,32.9,london,bullish
2023-06-28,low,True,19.3,never,bullish
2023-06-29,low,True,25.6,london,bearish
2023-06-30,low,True,15.2,london,bearish
2023-07-03,low,True,17.2,london,bullish
2023-07-04,low,False,13.9,never,bearish
2023-07-05,low,True,15.8,london,bearish
2023-07-06,high,False,16.0,never,bearish
2023-07-07,high,True,9.2,never,bullish
2023-07-10,low,True,16.7,london,bearish
2023-07-11,high,True,18.6,london,bullish
2023-07-12,high,False,21.5,london,bullish
2023-07-13,low,True,12.3,never,bullish
2023-07-14,low,True,29.5,never,bullish
2023-07-17,high,True,14.9,london,bullish
2023-07-18,high,True,21.4,london,bullish
2023-07-19,high,True,16.6,never,bearish
2023-07-20,low,False,25.4,never,bearish
2023-07-21,high,True,12.1,never,bearish
2023-07-24,high,True,13.3,london,bullish
2023-07-25,high,True,18.8,never,bearish
2023-07-26,high,False,15.3,never,bearish
2023-07-27,high,True,40.4,london,bullish
2023-07-28,high,True,16.8,never,bearish
2023-07-31,low,True,18.6,london,bearish
2023-08-01,low,False,21.2,london,bearish
2023-08-02,low,False,27.8,never,bullish
2023-08-03,low,True,18.9,never,bearish
2023-08-04,low,True,15.1,never,bullish
2023-08-07,low,False,16.6,london,bearish
2023-08-08,high,True,28.6,never,bearish
2023-08-09,high,False,15.5,never,bearish
2023-08-10,high,False,14.6,never,bullish
2023-08-11,high,True,18.2,never,bullish
2023-08-14,low,True,17.5,london,bearish
2023-08-15,high,True,17.2,never,bearish
2023-08-16,high,True,12.8,never,bearish
2023-08-17,high,False,13.1,never,bearish
2023-08-18,low,False,22.1,never,bullish
2023-08-21,high,False,14.6,london,bullish
2023-08-22,high,True,22.6,london,bullish
2023-08-23,high,True,15.0,never,bearish
2023-08-24,low,False,16.7,never,bullish
2023-08-25,low,True,24.1,london,bearish
2023-08-28,high,False,14.0,london,bullish
2023-08-29,low,True,16.9,never,bullish
2023-08-30,high,True,8.5,never,bullish
2023-08-31,low,False,19.4,never,bullish
2023-09-01,low,True,17.8,london,bearish
2023-09-04,high,False,14.1,london,bullish
2023-09-05,low,False,17.5,london,bullish
2023-09-06,high,True,21.2,never,bearish
2023-09-07,low,False,12.7,never,bearish
2023-09-08,high,True,26.1,never,bearish
2023-09-11,high,False,18.1,london,bullish
2023-09-12,low,False,31.7,never,bullish
2023-09-13,low,False,20.2,never,bullish
2023-09-14,high,True,16.3,never,bearish
2023-09-15,high,False,15.1,never,bearish
2023-09-18,high,True,12.7,london,bullish
2023-09-19,low,True,15.8,never,bullish
2023-09-20,low,True,11.6,london,bearish
2023-09-21,high,False,33.6,never,bearish
2023-09-22,high,True,21.7,never,bullish
2023-09-25,low,False,12.5,london,bullish
2023-09-26,low,True,13.6,never,bearish
2023-09-27,high,True,16.1,never,bearish
2023-09-28,low,True,17.3,never,bearish
2023-09-29,high,False,24.8,london,bullish
2023-10-02,low,True,8.4,never,bullish
2023-10-03,low,True,16.5,london,bearish
2023-10-04,low,True,18.5,never,bearish
2023-10-05,low,True,26.6,never,bullish
2023-10-06,low,True,9.8,never,bullish
2023-10-09,low,False,22.7,london,bearish
2023-10-10,low,True,17.6,never,bullish
2023-10-11,low,True,13.0,never,bullish
2023-10-12,high,True,9.1,never,bullish
2023-10-13,high,True,13.5,never,bearish
2023-10-16,high,False,10.1,london,bullish
2023-10-17,low,True,14.5,never,bullish
2023-10-18,high,True,18.5,never,bullish
2023-10-19,low,True,9.5,never,bearish
2023-10-20,low,True,18.1,never,bullish
2023-10-23,low,True,16.9,london,bearish
2023-10-24,high,True,20.3,london,bullish
2023-10-25,low,False,15.3,never,bearish
2023-10-26,low,False,27.7,london,bearish
2023-10-27,high,True,14.1,london,bullish
2023-10-30,high,True,7.4,never,bullish
2023-10-31,high,True,22.0,never,bullish
2023-11-01,high,True,10.5,never,bearish
2023-11-02,high,True,8.9,london,bullish
