date,side,outcome,r_multiple,risk_pips,reward_pips,confirm_min,skipped
2025-05-02,high,LOSS,-1.0,6.7,39.0,0,False
2025-05-05,low,WIN,7.302,4.3,31.4,0,False
2025-05-06,high,LOSS,-1.0,6.5,35.2,0,False
2025-05-08,low,LOSS,-1.0,6.6,31.0,0,False
2025-05-09,high,LOSS,-1.0,7.1,35.4,3,False
2025-05-15,high,WIN,0.621,34.0,21.1,84,False
2025-05-19,high,LOSS,-1.0,6.6,23.7,0,False
2025-05-20,high,LOSS,-0.162,33.4,29.6,165,False
2025-05-21,high,LOSS,-1.0,17.4,52.0,27,False
2025-05-22,low,LOSS,-1.0,11.5,26.3,6,False
2025-05-23,high,LOSS,-1.0,12.8,38.1,19,False
2025-05-29,high,LOSS,-1.0,4.8,32.5,0,False
2025-05-30,low,LOSS,-1.0,15.0,41.7,34,False
2025-06-02,high,LOSS,-1.0,5.1,27.9,0,False
2025-06-03,low,LOSS,-1.0,6.2,36.0,0,False
2025-06-04,low,WIN,1.969,13.1,25.8,13,False
2025-06-05,low,WIN,2.94,8.3,24.4,5,False
2025-06-09,high,LOSS,-1.0,8.6,31.2,14,False
2025-06-10,low,WIN,2.644,18.0,47.6,15,False
2025-06-11,low,WIN,5.792,5.3,30.7,0,False
2025-06-12,high,LOSS,-1.0,8.9,23.7,3,False
2025-06-13,low,LOSS,-1.0,8.4,82.1,0,False
2025-06-19,low,LOSS,-1.0,6.9,29.8,1,False
2025-06-23,high,WIN,1.686,19.4,32.7,9,False
2025-06-26,high,BE,-0.049,32.8,47.8,75,False
2025-07-01,low,LOSS,-1.0,9.2,23.6,29,False
2025-07-07,low,LOSS,-1.0,8.5,32.7,54,False
2025-07-14,low,WIN,0.504,11.9,32.8,43,False
2025-07-31,high,LOSS,-1.0,10.0,37.2,36,False
2025-08-04,low,WIN,0.5,12.0,28.0,24,False
2025-08-05,low,LOSS,-1.0,17.9,27.9,75,False
2025-08-19,high,LOSS,-1.0,9.5,36.7,82,False
2025-08-22,low,WIN,2.018,11.3,22.8,43,False
2025-08-26,low,WIN,1.752,21.4,37.5,89,False
2025-08-29,high,WIN,2.25,10.8,24.3,21,False
2025-09-01,high,LOSS,-1.0,16.8,29.6,73,False
2025-09-16,high,LOSS,-1.0,11.1,23.9,36,False
2025-10-08,low,LOSS,-1.0,10.0,37.2,45,False
2025-10-13,high,WIN,1.624,11.7,19.0,28,False
2025-10-14,high,WIN,1.448,14.5,21.0,23,False
2025-10-27,low,WIN,1.161,14.3,16.6,42,False
2025-10-30,low,LOSS,-1.0,10.4,21.4,32,False
2025-11-26,high,WIN,1.405,11.6,16.3,22,False
2025-12-01,high,LOSS,-1.0,8.8,24.7,20,False
