date,side,outcome,r_multiple,risk_pips,reward_pips
2025-08-29,high,WIN,1.781,13.7,24.4
2025-09-01,high,LOSS,-1.0,13.1,25.2
2025-09-16,high,LOSS,-1.0,13.5,27.9
2025-10-08,low,LOSS,-1.0,14.0,34.2
2025-10-13,high,WIN,2.015,13.1,26.4
2025-10-14,high,WIN,1.759,14.1,24.8
2025-10-27,low,WIN,1.676,14.5,24.3
2025-10-30,low,LOSS,-1.0,13.9,28.8
2025-11-26,high,WIN,1.816,13.6,24.7
2025-12-01,high,LOSS,-1.0,13.5,25.0
