entry_bar,outcome,r_multiple,risk_pips
547750,LOSS,-1.0,13.0
547975,LOSS,-1.0,5.5
548290,OPEN,0.0,34.1
549365,LOSS,-1.0,20.6
549485,LOSS,-1.0,20.4
549620,LOSS,-1.0,12.9
550775,WIN,0.936,14.0
553486,WIN,0.37,18.1
557803,WIN,0.0,46.6
560659,WIN,1.088,21.5
566342,LOSS,-1.0,8.4
566417,WIN,0.0,37.5
572268,LOSS,-1.0,24.6
572463,OPEN,0.0,34.9
574977,WIN,3.283,11.3
577945,LOSS,-1.0,5.4
578320,OPEN,0.0,31.9
580696,WIN,1.179,11.2
582176,WIN,2.641,13.1
583641,WIN,2.155,20.6
585272,LOSS,-1.0,24.1
589576,LOSS,-1.0,7.2
592182,LOSS,-1.0,8.1
592362,LOSS,-1.0,35.6
592767,OPEN,0.0,14.1
593872,OPEN,0.0,17.7
602233,WIN,0.455,13.2
605240,WIN,2.339,6.2
610977,WIN,0.969,35.8
613851,LOSS,-1.0,24.0
614256,OPEN,0.0,47.7
615455,OPEN,0.0,24.5
616990,WIN,0.0,3.5
619491,LOSS,-1.0,11.8
619866,LOSS,-1.0,10.9
622514,WIN,1.753,8.1
624029,WIN,0.588,33.5
625300,WIN,0.293,27.6
626839,OPEN,0.0,19.7
628292,OPEN,0.0,25.8
629591,LOSS,-1.0,22.0
629921,WIN,0.0,119.5
639985,OPEN,0.0,24.6
642649,OPEN,0.0,47.0
643923,LOSS,-1.0,14.8
644268,WIN,1.795,12.2
648226,WIN,0.138,11.6
651234,LOSS,-1.0,39.5
652564,WIN,0.0,25.8
659721,LOSS,-1.0,6.0
659961,WIN,3.06,8.4
663998,WIN,0.2,2.5
665469,LOSS,-1.0,14.6
665904,LOSS,-1.0,1.9
668317,LOSS,-1.0,17.3
668467,LOSS,-1.0,17.4
668647,LOSS,-1.0,26.1
674237,LOSS,-1.0,30.7
679777,LOSS,-1.0,10.0
680167,WIN,6.675,8.3
684390,LOSS,-1.0,8.2
685680,OPEN,0.0,26.5
689769,WIN,0.692,16.9
691433,LOSS,-1.0,25.3
691643,LOSS,-1.0,28.2
692767,WIN,0.416,32.0
694455,LOSS,-1.0,42.4
694545,OPEN,0.0,14.1
695862,LOSS,-1.0,3.1
697101,WIN,0.149,28.8
702766,WIN,2.839,11.8
707375,OPEN,0.0,49.2
710100,LOSS,-1.0,28.4
710280,LOSS,-1.0,9.0
710340,WIN,5.682,8.5
711344,WIN,0.722,23.4
712812,LOSS,-1.0,15.3
713142,WIN,0.0,92.0
718636,WIN,0.412,26.0
719952,WIN,0.85,14.7
721571,LOSS,-1.0,9.1
721706,LOSS,-1.0,12.2
721811,LOSS,-1.0,14.1
721886,OPEN,0.0,32.0
722881,WIN,1.086,14.0
724241,WIN,1.275,9.1
727136,WIN,0.208,7.7
728590,LOSS,-1.0,10.9
728710,WIN,0.65,31.4
731493,LOSS,-1.0,15.4
731868,WIN,0.0,18.9
732870,LOSS,-1.0,11.5
732945,LOSS,-1.0,19.4
