entry,stop_mode,stop_pips,target_frac,be_at_r,min_rr,n_trades,win_rate,expectancy_r,total_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
reclaim,beyond_level,30,0.75,1.0,,668,66.2,-0.022,-14.6,0.93,19.0,32.0,0.43
reclaim,beyond_extreme,20,0.5,1.0,,668,72.2,-0.022,-14.4,0.92,18.7,26.5,0.36
immediate,beyond_extreme,15,1.0,1.0,,763,43.0,-0.022,-16.8,0.95,27.3,17.3,1.23
reclaim,beyond_extreme,30,0.5,1.0,,668,75.7,-0.023,-15.2,0.89,18.7,36.5,0.26
immediate,beyond_extreme,12,1.0,1.0,,763,37.9,-0.023,-17.2,0.95,28.4,14.3,1.5
reclaim,beyond_level,25,1.0,1.0,,668,57.0,-0.023,-15.5,0.94,22.1,27.0,0.69
reclaim,beyond_level,25,0.5,1.0,,668,72.6,-0.023,-15.3,0.91,17.8,27.0,0.34
reclaim,beyond_extreme,15,0.5,1.0,,668,68.0,-0.024,-15.9,0.92,19.4,21.5,0.45
immediate,beyond_extreme,25,0.5,1.0,,763,69.7,-0.025,-19.0,0.91,23.2,27.3,0.39
immediate,beyond_level,25,0.5,,,763,68.0,-0.025,-19.1,0.92,25.9,24.2,0.48
reclaim,beyond_level,8,1.0,,,668,35.9,-0.025,-16.6,0.96,29.9,10.0,1.87
reclaim,beyond_extreme,25,0.5,,,668,74.6,-0.026,-17.5,0.89,22.1,31.5,0.3
reclaim,beyond_level,30,1.0,,,668,59.7,-0.026,-17.3,0.92,20.3,32.0,0.58
reclaim,beyond_level,20,0.75,,,668,60.8,-0.026,-17.3,0.93,21.8,22.0,0.63
immediate,beyond_level,25,0.5,1.0,,763,67.5,-0.026,-19.5,0.92,26.6,24.2,0.48
reclaim,beyond_level,30,0.5,,,668,74.3,-0.027,-18.1,0.88,22.3,32.0,0.29
immediate,beyond_level,30,0.5,,,763,70.4,-0.027,-20.8,0.9,32.5,29.2,0.38
immediate,beyond_level,30,1.0,1.0,,763,54.4,-0.027,-20.9,0.93,27.2,29.2,0.77
reclaim,beyond_extreme,12,0.75,1.0,,668,54.8,-0.027,-18.2,0.93,22.5,18.5,0.8
reclaim,beyond_level,20,0.5,,,668,69.3,-0.027,-18.0,0.91,25.2,22.0,0.42
immediate,beyond_extreme,12,0.75,1.0,,763,45.9,-0.027,-20.3,0.94,33.2,14.3,1.12
reclaim,beyond_extreme,25,0.5,1.0,,668,74.3,-0.028,-18.5,0.88,22.1,31.5,0.3
reclaim,beyond_level,30,0.5,1.0,,668,74.0,-0.028,-18.9,0.88,22.3,32.0,0.29
reclaim,beyond_extreme,12,0.5,,,668,65.0,-0.028,-18.8,0.92,23.5,18.5,0.53
reclaim,beyond_extreme,12,1.0,1.0,,668,46.7,-0.029,-19.4,0.94,27.8,18.5,1.07
reclaim,beyond_extreme,8,0.75,1.0,,668,47.8,-0.029,-19.3,0.94,29.2,14.5,1.06
reclaim,beyond_level,12,1.0,1.0,,668,40.4,-0.03,-20.2,0.94,30.9,14.0,1.33
reclaim,beyond_level,20,1.0,1.0,,668,52.4,-0.03,-20.2,0.93,26.0,22.0,0.84
reclaim,beyond_level,30,1.0,1.0,,668,59.1,-0.031,-20.4,0.91,23.3,32.0,0.58
immediate,beyond_level,15,1.0,,,756,42.3,-0.031,-23.1,0.95,33.2,14.3,1.82
immediate,beyond_level,30,0.5,1.0,,763,69.7,-0.031,-23.7,0.89,32.5,29.2,0.38
immediate,beyond_extreme,8,1.0,1.0,,763,28.8,-0.031,-23.4,0.94,56.0,10.3,2.09
immediate,beyond_extreme,15,0.5,,,763,61.5,-0.032,-24.6,0.92,36.0,17.3,0.62
reclaim,beyond_level,20,0.5,1.0,,668,68.7,-0.033,-22.0,0.89,28.8,22.0,0.42
reclaim,beyond_level,20,0.75,1.0,,668,59.9,-0.034,-22.5,0.91,27.0,22.0,0.63
reclaim,beyond_level,15,1.0,1.0,,668,45.2,-0.037,-24.5,0.92,31.2,17.0,1.09
reclaim,beyond_extreme,12,0.5,1.0,,668,63.9,-0.037,-24.6,0.89,27.4,18.5,0.53
reclaim,beyond_level,15,0.75,1.0,,668,53.3,-0.037,-24.7,0.91,30.2,17.0,0.82
immediate,beyond_level,12,0.75,,,750,43.3,-0.039,-29.1,0.93,34.9,11.4,1.78
reclaim,beyond_extreme,8,0.5,,,668,58.4,-0.039,-26.1,0.91,31.8,14.5,0.71
immediate,beyond_extreme,8,0.75,1.0,,763,35.8,-0.039,-29.7,0.92,54.0,10.3,1.57
reclaim,beyond_level,15,0.5,,,668,63.3,-0.04,-27.0,0.89,30.8,17.0,0.55
reclaim,beyond_level,12,0.5,,,668,59.0,-0.04,-26.8,0.9,28.7,14.0,0.66
immediate,beyond_extreme,15,0.5,1.0,,763,60.6,-0.04,-30.7,0.89,41.2,17.3,0.62
immediate,beyond_level,20,0.75,1.0,,762,53.3,-0.042,-32.1,0.9,40.6,19.2,1.07
reclaim,beyond_level,12,0.75,1.0,,668,48.2,-0.042,-28.3,0.91,32.5,14.0,1.0
immediate,beyond_level,20,1.0,,,762,47.9,-0.044,-33.6,0.91,40.8,19.2,1.43
immediate,beyond_level,15,0.75,1.0,,756,45.8,-0.044,-33.3,0.91,47.4,14.3,1.36
immediate,beyond_extreme,8,0.5,,,763,48.9,-0.044,-33.6,0.91,48.0,10.3,1.05
immediate,beyond_level,20,0.75,,,762,54.5,-0.045,-34.4,0.9,43.8,19.2,1.07
immediate,beyond_level,15,0.75,,,756,48.0,-0.046,-34.7,0.91,53.8,14.3,1.36
immediate,beyond_extreme,12,0.5,,,763,56.5,-0.048,-36.5,0.89,44.6,14.3,0.75
reclaim,beyond_extreme,8,0.5,1.0,,668,56.9,-0.049,-32.4,0.88,37.9,14.5,0.71
immediate,beyond_level,12,0.5,,,750,51.5,-0.05,-37.8,0.9,41.9,11.4,1.18
immediate,beyond_level,20,0.5,,,762,62.9,-0.05,-38.4,0.86,48.0,19.2,0.71
immediate,beyond_level,8,1.0,,,731,28.3,-0.05,-36.7,0.93,46.4,7.6,3.92
immediate,beyond_level,20,0.5,1.0,,762,62.2,-0.05,-38.4,0.86,48.1,19.2,0.71
immediate,beyond_level,15,1.0,1.0,,756,37.7,-0.051,-38.7,0.9,47.7,14.3,1.82
immediate,beyond_extreme,12,0.5,1.0,,763,55.0,-0.053,-40.4,0.87,48.4,14.3,0.75
reclaim,beyond_extreme,5,0.75,,,668,42.4,-0.054,-35.9,0.91,41.1,11.5,1.41
immediate,beyond_extreme,8,0.5,1.0,,763,45.9,-0.055,-42.1,0.88,50.0,10.3,1.05
reclaim,beyond_level,15,0.5,1.0,,668,61.8,-0.055,-36.4,0.85,39.1,17.0,0.55
reclaim,beyond_level,12,0.5,1.0,,668,57.6,-0.056,-37.5,0.86,39.3,14.0,0.66
